CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
06/06/2017,16:00,40.911095,-73.8983,BRONX,1.0,0.0,0,0,0,0,1,0,3686302,2017-06-06 16:00:00,2017-06-06T16:00,2017,6,13.4,0.0,Cloudy
05/19/2017,12:00,40.80437,-73.91326,BRONX,1.0,0.0,1,0,0,0,0,0,3675357,2017-05-19 12:00:00,2017-05-19T12:00,2017,5,29.1,0.0,Cloudy
11/07/2017,8:00,40.81218,-73.9011,BRONX,1.0,0.0,0,0,0,0,1,0,3785025,2017-11-07 08:00:00,2017-11-07T08:00,2017,11,6.8,0.0,Clear
04/13/2017,20:00,40.84518,-73.91417,BRONX,1.0,0.0,0,0,0,0,1,0,3652761,2017-04-13 20:00:00,2017-04-13T20:00,2017,4,11.7,0.0,Cloudy
08/10/2017,10:00,40.86564,-73.88323,BRONX,1.0,0.0,1,0,0,0,0,0,3731805,2017-08-10 10:00:00,2017-08-10T10:00,2017,8,26.4,0.0,Cloudy
11/07/2017,22:00,40.82577,-73.88878,BRONX,2.0,0.0,0,0,0,0,2,0,3788151,2017-11-07 22:00:00,2017-11-07T22:00,2017,11,4.6,1.9,Light Rain
08/04/2017,14:00,40.85502,-73.869644,BRONX,1.0,0.0,0,0,0,0,1,0,3724908,2017-08-04 14:00:00,2017-08-04T14:00,2017,8,26.7,0.0,Clear
03/01/2017,10:00,40.862732,-73.90333,BRONX,1.0,0.0,1,0,0,0,0,0,3623911,2017-03-01 10:00:00,2017-03-01T10:00,2017,3,13.4,0.1,Drizzle
11/15/2017,8:00,40.822815,-73.895485,BRONX,1.0,0.0,0,0,0,0,1,0,3790510,2017-11-15 08:00:00,2017-11-15T08:00,2017,11,3.2,0.0,Clear
10/18/2017,11:00,40.816418,-73.882195,BRONX,0.0,0.0,0,0,0,0,0,0,3771670,2017-10-18 11:00:00,2017-10-18T11:00,2017,10,18.0,0.0,Clear
05/28/2017,17:00,40.83329,-73.87154,BRONX,0.0,0.0,0,0,0,0,0,0,3679980,2017-05-28 17:00:00,2017-05-28T17:00,2017,5,18.0,0.0,Cloudy
11/06/2017,0:00,40.82916,-73.844086,BRONX,2.0,0.0,0,0,0,0,2,0,3785123,2017-11-06 00:00:00,2017-11-06T00:00,2017,11,15.0,0.0,Cloudy
05/20/2017,16:00,40.87449,-73.901505,BRONX,1.0,0.0,1,0,0,0,0,0,3674923,2017-05-20 16:00:00,2017-05-20T16:00,2017,5,15.4,0.0,Cloudy
02/06/2017,8:00,40.864464,-73.8245,BRONX,1.0,0.0,1,0,0,0,0,0,3615803,2017-02-06 08:00:00,2017-02-06T08:00,2017,2,1.1,0.0,Clear
04/22/2017,18:00,40.8595,-73.84301,BRONX,4.0,0.0,0,0,0,0,4,0,3655370,2017-04-22 18:00:00,2017-04-22T18:00,2017,4,11.5,0.1,Drizzle
05/26/2017,12:00,40.830345,-73.92328,BRONX,1.0,0.0,0,0,0,0,1,0,3680070,2017-05-26 12:00:00,2017-05-26T12:00,2017,5,20.8,0.1,Drizzle
08/26/2017,20:00,40.850224,-73.88257,BRONX,1.0,0.0,0,0,0,0,1,0,3737850,2017-08-26 20:00:00,2017-08-26T20:00,2017,8,18.1,0.0,Clear
11/27/2017,18:00,40.806828,-73.88448,BRONX,1.0,0.0,0,0,0,0,1,0,3798369,2017-11-27 18:00:00,2017-11-27T18:00,2017,11,4.4,0.0,Cloudy
09/27/2017,18:00,40.812454,-73.903046,BRONX,0.0,0.0,0,0,0,0,0,0,3759406,2017-09-27 18:00:00,2017-09-27T18:00,2017,9,24.3,0.0,Clear
06/23/2017,20:00,40.87314,-73.90572,BRONX,1.0,0.0,0,0,0,0,1,0,3698502,2017-06-23 20:00:00,2017-06-23T20:00,2017,6,24.7,0.9,Drizzle
07/21/2017,7:00,40.81593,-73.8917,BRONX,1.0,0.0,0,0,0,0,1,0,3716902,2017-07-21 07:00:00,2017-07-21T07:00,2017,7,26.0,0.0,Clear
09/03/2017,13:00,40.844486,-73.846245,BRONX,1.0,0.0,0,0,0,0,1,0,3744144,2017-09-03 13:00:00,2017-09-03T13:00,2017,9,16.8,0.0,Cloudy
12/15/2017,17:00,40.86536,-73.87043,BRONX,1.0,0.0,0,0,0,0,1,0,3811229,2017-12-15 17:00:00,2017-12-15T17:00,2017,12,-3.5,0.5,Heavy Snow
03/20/2017,0:00,40.825314,-73.90822,BRONX,1.0,0.0,1,0,0,0,0,0,3635991,2017-03-20 00:00:00,2017-03-20T00:00,2017,3,-2.0,0.0,Clear
08/03/2017,8:00,40.855675,-73.85549,BRONX,1.0,0.0,0,0,0,0,1,0,3723779,2017-08-03 08:00:00,2017-08-03T08:00,2017,8,22.2,0.0,Cloudy
10/09/2017,0:00,40.895374,-73.86356,BRONX,0.0,0.0,0,0,0,0,0,0,3766421,2017-10-09 00:00:00,2017-10-09T00:00,2017,10,22.4,0.7,Drizzle
04/11/2017,10:00,40.803593,-73.919785,BRONX,1.0,0.0,0,0,0,0,1,0,3649607,2017-04-11 10:00:00,2017-04-11T10:00,2017,4,20.7,0.0,Cloudy
05/25/2017,9:00,40.86006,-73.891136,BRONX,1.0,0.0,1,0,0,0,0,0,3679454,2017-05-25 09:00:00,2017-05-25T09:00,2017,5,13.1,1.4,Light Rain
