CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
01/07/2023,13:00,40.857857,-73.86678,BRONX,1.0,0.0,0,0,0,0,1,0,4596330,2023-01-07 13:00:00,2023-01-07T13:00,2023,1,8.0,0.0,Clear
06/24/2023,15:00,40.820858,-73.912575,BRONX,1.0,0.0,0,0,0,0,1,0,4649047,2023-06-24 15:00:00,2023-06-24T15:00,2023,6,24.4,0.0,Cloudy
11/06/2023,18:00,40.815754,-73.89529,BRONX,2.0,0.0,0,0,0,0,2,0,4677225,2023-11-06 18:00:00,2023-11-06T18:00,2023,11,7.0,0.0,Clear
04/07/2023,17:00,40.875458,-73.85485,BRONX,3.0,0.0,0,0,0,0,3,0,4620386,2023-04-07 17:00:00,2023-04-07T17:00,2023,4,10.5,0.0,Cloudy
08/01/2023,0:00,40.85574,-73.84023,BRONX,1.0,0.0,0,0,1,0,0,0,4653273,2023-08-01 00:00:00,2023-08-01T00:00,2023,8,18.9,0.0,Cloudy
08/07/2023,20:00,40.817116,-73.88307,BRONX,1.0,0.0,1,0,0,0,0,0,4652628,2023-08-07 20:00:00,2023-08-07T20:00,2023,8,23.3,4.8,Heavy Rain
05/06/2023,21:00,40.81645,-73.91918,BRONX,1.0,0.0,0,0,0,0,1,0,4629298,2023-05-06 21:00:00,2023-05-06T21:00,2023,5,13.4,0.0,Clear
02/13/2023,15:00,40.806065,-73.90905,BRONX,1.0,0.0,0,0,0,0,1,0,4606299,2023-02-13 15:00:00,2023-02-13T15:00,2023,2,12.7,0.0,Clear
08/05/2023,13:00,40.82596,-73.91167,BRONX,1.0,0.0,1,0,0,0,0,0,4651697,2023-08-05 13:00:00,2023-08-05T13:00,2023,8,29.6,0.0,Cloudy
03/19/2023,5:00,40.860996,-73.89643,BRONX,0.0,0.0,0,0,0,0,0,0,4614118,2023-03-19 05:00:00,2023-03-19T05:00,2023,3,-1.9,0.0,Clear
08/22/2023,18:00,40.84809,-73.856285,BRONX,1.0,0.0,0,0,0,0,0,0,4656335,2023-08-22 18:00:00,2023-08-22T18:00,2023,8,23.6,0.0,Cloudy
05/18/2023,7:00,40.81922,-73.91062,BRONX,1.0,0.0,0,0,1,0,0,0,4630190,2023-05-18 07:00:00,2023-05-18T07:00,2023,5,9.3,0.0,Clear
11/19/2023,16:00,40.86027,-73.82459,BRONX,2.0,0.0,0,0,0,0,2,0,4680305,2023-11-19 16:00:00,2023-11-19T16:00,2023,11,11.0,0.0,Clear
09/29/2023,11:00,40.8262,-73.821686,BRONX,1.0,0.0,1,0,0,0,0,0,4666372,2023-09-29 11:00:00,2023-09-29T11:00,2023,9,14.6,10.6,Heavy Rain
11/11/2023,18:00,40.868626,-73.902176,BRONX,1.0,0.0,0,0,1,0,0,0,4679235,2023-11-11 18:00:00,2023-11-11T18:00,2023,11,7.5,0.0,Cloudy
07/26/2023,23:00,40.81464,-73.885574,BRONX,0.0,0.0,0,0,0,0,0,0,4651287,2023-07-26 23:00:00,2023-07-26T23:00,2023,7,23.2,0.0,Cloudy
02/14/2023,13:00,40.89481,-73.86183,BRONX,1.0,0.0,0,0,0,0,1,0,4607116,2023-02-14 13:00:00,2023-02-14T13:00,2023,2,10.0,0.0,Clear
