CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
10/30/2018,21:00,40.87395,-73.85278,BRONX,0.0,0.0,0,0,0,0,0,0,4011164,2018-10-30 21:00:00,2018-10-30T21:00,2018,10,5.0,0.0,Clear
09/21/2018,4:00,40.888744,-73.85563,BRONX,0.0,0.0,0,0,0,0,0,0,3986446,2018-09-21 04:00:00,2018-09-21T04:00,2018,9,18.7,0.0,Cloudy
09/18/2018,0:00,40.838306,-73.82893,BRONX,1.0,0.0,1,0,0,0,0,0,3985115,2018-09-18 00:00:00,2018-09-18T00:00,2018,9,23.0,0.0,Cloudy
02/15/2018,12:00,40.87927,-73.85446,BRONX,1.0,0.0,0,0,0,0,1,0,3847651,2018-02-15 12:00:00,2018-02-15T12:00,2018,2,11.4,0.0,Cloudy
03/18/2018,15:00,40.81888,-73.916504,BRONX,1.0,0.0,0,0,0,0,1,0,3866212,2018-03-18 15:00:00,2018-03-18T15:00,2018,3,5.2,0.0,Clear
12/16/2018,16:00,40.874878,-73.85302,BRONX,2.0,0.0,0,0,0,0,2,0,4047027,2018-12-16 16:00:00,2018-12-16T16:00,2018,12,4.3,0.2,Drizzle
07/30/2018,2:00,40.85612,-73.89331,BRONX,0.0,0.0,0,0,0,0,0,0,3952132,2018-07-30 02:00:00,2018-07-30T02:00,2018,7,20.3,0.0,Clear
09/03/2018,12:00,40.887234,-73.84828,BRONX,0.0,0.0,0,0,0,0,0,0,3973410,2018-09-03 12:00:00,2018-09-03T12:00,2018,9,30.6,0.0,Clear
08/16/2018,14:00,40.80495,-73.883995,BRONX,1.0,0.0,0,0,0,0,1,0,3962951,2018-08-16 14:00:00,2018-08-16T14:00,2018,8,31.8,0.0,Clear
04/18/2018,14:00,40.73858,-73.9846,BRONX,0.0,1.0,0,0,0,0,0,0,4025853,2018-04-18 14:00:00,2018-04-18T14:00,2018,4,11.3,0.0,Cloudy
10/04/2018,14:00,40.862747,-73.90494,BRONX,1.0,0.0,1,0,0,0,0,0,3994423,2018-10-04 14:00:00,2018-10-04T14:00,2018,10,23.5,0.0,Cloudy
06/17/2018,21:00,40.853985,-73.882576,BRONX,4.0,0.0,0,0,0,0,4,0,3923049,2018-06-17 21:00:00,2018-06-17T21:00,2018,6,21.5,0.0,Cloudy
11/20/2018,19:00,40.819096,-73.914566,BRONX,0.0,0.0,0,0,0,0,0,0,4029899,2018-11-20 19:00:00,2018-11-20T19:00,2018,11,4.2,0.0,Clear
11/13/2018,13:00,40.857605,-73.89124,BRONX,0.0,0.0,0,0,0,0,0,0,4020024,2018-11-13 13:00:00,2018-11-13T13:00,2018,11,7.9,0.0,Cloudy
06/14/2018,0:00,40.87911,-73.84325,BRONX,1.0,0.0,0,0,0,0,1,0,3923153,2018-06-14 00:00:00,2018-06-14T00:00,2018,6,21.8,0.0,Cloudy
02/22/2018,21:00,40.87746,-73.853745,BRONX,1.0,0.0,1,0,0,0,0,0,3852347,2018-02-22 21:00:00,2018-02-22T21:00,2018,2,2.5,0.0,Cloudy
08/04/2018,0:00,40.843857,-73.83044,BRONX,1.0,0.0,0,0,0,0,1,0,3955818,2018-08-04 00:00:00,2018-08-04T00:00,2018,8,22.5,0.0,Cloudy
12/23/2018,0:00,40.8262,-73.821686,BRONX,1.0,0.0,0,0,0,0,1,0,4050695,2018-12-23 00:00:00,2018-12-23T00:00,2018,12,3.6,0.0,Cloudy
08/07/2018,1:00,40.85592,-73.9172,BRONX,0.0,0.0,0,0,0,0,0,0,3957109,2018-08-07 01:00:00,2018-08-07T01:00,2018,8,25.3,0.0,Clear
10/18/2018,8:00,40.8281,-73.92021,BRONX,1.0,0.0,1,0,0,0,0,0,4003287,2018-10-18 08:00:00,2018-10-18T08:00,2018,10,6.1,0.0,Clear
01/20/2018,10:00,40.83121,-73.850876,BRONX,1.0,0.0,1,0,0,0,0,0,3832503,2018-01-20 10:00:00,2018-01-20T10:00,2018,1,6.0,0.0,Clear
02/26/2018,17:00,40.840057,-73.870964,BRONX,1.0,0.0,0,0,0,0,1,0,3853029,2018-02-26 17:00:00,2018-02-26T17:00,2018,2,9.8,0.0,Cloudy
02/16/2018,0:00,40.83648,-73.897736,BRONX,1.0,0.0,0,0,0,0,1,0,3848155,2018-02-16 00:00:00,2018-02-16T00:00,2018,2,11.3,1.7,Light Rain
05/13/2018,20:00,40.840225,-73.91769,BRONX,1.0,0.0,1,0,0,0,0,0,3900859,2018-05-13 20:00:00,2018-05-13T20:00,2018,5,11.5,0.0,Cloudy
02/24/2018,15:00,40.834415,-73.92854,BRONX,1.0,0.0,0,0,0,0,1,0,3852028,2018-02-24 15:00:00,2018-02-24T15:00,2018,2,10.7,0.6,Drizzle
04/04/2018,22:00,40.834232,-73.874,BRONX,0.0,0.0,0,0,0,0,0,0,3877017,2018-04-04 22:00:00,2018-04-04T22:00,2018,4,4.9,0.0,Clear
11/19/2018,0:00,40.815525,-73.85779,BRONX,1.0,0.0,0,0,0,0,1,0,4028849,2018-11-19 00:00:00,2018-11-19T00:00,2018,11,3.9,0.0,Cloudy
08/28/2018,14:00,40.85554,-73.91413,BRONX,1.0,0.0,0,0,0,0,1,0,3969524,2018-08-28 14:00:00,2018-08-28T14:00,2018,8,33.3,0.0,Clear
09/04/2018,15:00,40.815903,-73.92848,BRONX,0.0,0.0,0,0,0,0,0,0,3974063,2018-09-04 15:00:00,2018-09-04T15:00,2018,9,31.6,0.0,Cloudy
01/12/2018,0:00,40.884033,-73.89797,BRONX,1.0,0.0,1,0,0,0,0,0,3828709,2018-01-12 00:00:00,2018-01-12T00:00,2018,1,7.6,0.0,Cloudy
02/13/2018,8:00,40.876907,-73.9057,BRONX,1.0,0.0,0,0,0,0,1,0,3845532,2018-02-13 08:00:00,2018-02-13T08:00,2018,2,-3.5,0.0,Clear
09/19/2018,22:00,40.827087,-73.9309,BRONX,0.0,0.0,0,0,0,0,0,0,3985513,2018-09-19 22:00:00,2018-09-19T22:00,2018,9,20.3,0.3,Drizzle
10/12/2018,20:00,40.86795,-73.8705,BRONX,1.0,0.0,0,0,1,0,0,0,3999313,2018-10-12 20:00:00,2018-10-12T20:00,2018,10,11.5,0.0,Clear
01/22/2018,5:00,40.808163,-73.92653,BRONX,1.0,0.0,1,0,0,0,0,0,3837142,2018-01-22 05:00:00,2018-01-22T05:00,2018,1,5.4,0.0,Cloudy
04/05/2018,17:00,40.806164,-73.909134,BRONX,0.0,0.0,0,0,0,0,0,0,3875839,2018-04-05 17:00:00,2018-04-05T17:00,2018,4,5.7,0.0,Cloudy
11/07/2018,8:00,40.830536,-73.91948,BRONX,1.0,0.0,1,0,0,0,0,0,4020550,2018-11-07 08:00:00,2018-11-07T08:00,2018,11,10.4,0.0,Clear
10/14/2018,18:00,40.881298,-73.8991,BRONX,1.0,0.0,1,0,0,0,0,0,3999686,2018-10-14 18:00:00,2018-10-14T18:00,2018,10,12.2,0.0,Clear
03/02/2018,22:00,40.818012,-73.92519,BRONX,1.0,0.0,1,0,0,0,0,0,3857358,2018-03-02 22:00:00,2018-03-02T22:00,2018,3,3.3,0.0,Cloudy
07/09/2018,9:00,40.847855,-73.895584,BRONX,0.0,0.0,0,0,0,0,0,0,3939039,2018-07-09 09:00:00,2018-07-09T09:00,2018,7,25.0,0.0,Clear
05/10/2018,23:00,40.83394,-73.9087,BRONX,1.0,0.0,0,0,0,0,1,0,3902766,2018-05-10 23:00:00,2018-05-10T23:00,2018,5,14.7,0.0,Clear
07/24/2018,14:00,40.826424,-73.85868,BRONX,1.0,0.0,0,0,0,0,1,0,3948153,2018-07-24 14:00:00,2018-07-24T14:00,2018,7,27.5,0.1,Drizzle
10/06/2018,9:00,40.85819,-73.88435,BRONX,1.0,0.0,1,0,0,0,0,0,3995970,2018-10-06 09:00:00,2018-10-06T09:00,2018,10,17.6,0.0,Cloudy
08/29/2018,8:00,40.900288,-73.89704,BRONX,1.0,0.0,0,0,0,0,1,0,3971420,2018-08-29 08:00:00,2018-08-29T08:00,2018,8,27.9,0.0,Clear
12/17/2018,0:00,40.845493,-73.883484,BRONX,1.0,0.0,1,0,0,0,0,0,4048903,2018-12-17 00:00:00,2018-12-17T00:00,2018,12,1.8,0.4,Drizzle
