CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
03/17/2024,1:00,40.862755,-73.901085,BRONX,1.0,0.0,0,0,0,0,1,0,4711491,2024-03-17 01:00:00,2024-03-17T01:00,2024,3,7.7,0.0,Cloudy
02/12/2024,0:00,40.904243,-73.852165,BRONX,2.0,0.0,0,0,0,0,2,0,4702550,2024-02-12 00:00:00,2024-02-12T00:00,2024,2,3.3,0.0,Cloudy
03/17/2024,10:00,40.866577,-73.867325,BRONX,1.0,0.0,1,0,0,0,0,0,4710755,2024-03-17 10:00:00,2024-03-17T10:00,2024,3,12.4,0.0,Clear
09/10/2024,0:00,40.87634,-73.863205,BRONX,1.0,0.0,0,0,0,0,1,0,4754452,2024-09-10 00:00:00,2024-09-10T00:00,2024,9,15.9,0.0,Clear
05/11/2024,0:00,40.890076,-73.819855,BRONX,1.0,0.0,0,0,0,0,0,0,4727594,2024-05-11 00:00:00,2024-05-11T00:00,2024,5,9.0,0.0,Cloudy
02/15/2024,18:00,40.867256,-73.88363,BRONX,1.0,0.0,1,0,0,0,0,0,4703154,2024-02-15 18:00:00,2024-02-15T18:00,2024,2,0.5,0.0,Cloudy
04/09/2024,0:00,40.845142,-73.91105,BRONX,1.0,0.0,0,0,0,0,1,0,4715909,2024-04-09 00:00:00,2024-04-09T00:00,2024,4,6.6,0.0,Clear
08/03/2024,0:00,40.881977,-73.8287,BRONX,1.0,0.0,0,0,0,0,1,0,4746189,2024-08-03 00:00:00,2024-08-03T00:00,2024,8,24.2,0.0,Cloudy
01/27/2024,12:00,40.88144,-73.864,BRONX,1.0,0.0,1,0,0,0,0,0,4698349,2024-01-27 12:00:00,2024-01-27T12:00,2024,1,8.0,0.0,Cloudy
09/24/2024,21:00,40.860508,-73.88915,BRONX,1.0,0.0,1,0,0,0,0,0,4758831,2024-09-24 21:00:00,2024-09-24T21:00,2024,9,16.0,0.0,Cloudy
04/08/2024,3:00,40.817806,-73.92764,BRONX,1.0,0.0,1,0,0,0,0,0,4716357,2024-04-08 03:00:00,2024-04-08T03:00,2024,4,1.9,0.0,Clear
09/27/2024,1:00,40.8824,-73.90802,BRONX,0.0,0.0,0,0,0,0,0,0,4761989,2024-09-27 01:00:00,2024-09-27T01:00,2024,9,19.9,0.1,Drizzle
07/22/2024,11:00,40.811043,-73.88073,BRONX,2.0,0.0,0,0,0,0,2,0,4743224,2024-07-22 11:00:00,2024-07-22T11:00,2024,7,27.4,0.5,Drizzle
08/26/2024,10:00,40.880135,-73.903946,BRONX,2.0,0.0,0,0,0,0,2,0,4751837,2024-08-26 10:00:00,2024-08-26T10:00,2024,8,26.1,0.0,Clear
02/09/2024,19:00,40.882515,-73.88093,BRONX,1.0,0.0,0,0,1,0,0,0,4701934,2024-02-09 19:00:00,2024-02-09T19:00,2024,2,4.3,0.0,Cloudy
08/03/2024,13:00,40.833286,-73.914085,BRONX,1.0,0.0,1,0,0,0,0,0,4747479,2024-08-03 13:00:00,2024-08-03T13:00,2024,8,33.1,0.0,Cloudy
10/20/2024,21:00,40.825413,-73.820816,BRONX,1.0,0.0,0,0,0,0,1,0,4765189,2024-10-20 21:00:00,2024-10-20T21:00,2024,10,14.4,0.0,Clear
10/27/2024,12:00,40.89696,-73.85435,BRONX,1.0,0.0,0,0,0,0,1,0,4767043,2024-10-27 12:00:00,2024-10-27T12:00,2024,10,13.1,0.0,Clear
07/30/2024,22:00,40.836384,-73.87039,BRONX,2.0,0.0,0,0,0,0,2,0,4746300,2024-07-30 22:00:00,2024-07-30T22:00,2024,7,24.4,0.0,Cloudy
07/08/2024,5:00,40.85686,-73.893196,BRONX,0.0,0.0,0,0,0,0,0,0,4738995,2024-07-08 05:00:00,2024-07-08T05:00,2024,7,23.0,0.0,Clear
11/29/2024,15:00,40.862446,-73.89714,BRONX,1.0,0.0,1,0,0,0,0,0,4775638,2024-11-29 15:00:00,2024-11-29T15:00,2024,11,5.4,0.0,Cloudy
01/29/2024,13:00,40.82399,-73.85876,BRONX,1.0,0.0,0,0,0,0,1,0,4698877,2024-01-29 13:00:00,2024-01-29T13:00,2024,1,5.2,0.0,Clear
06/21/2024,0:00,40.849922,-73.90563,BRONX,2.0,0.0,0,0,0,0,2,0,4735294,2024-06-21 00:00:00,2024-06-21T00:00,2024,6,24.0,0.0,Cloudy
07/25/2024,14:00,40.865368,-73.85197,BRONX,1.0,0.0,1,0,0,0,0,0,4744552,2024-07-25 14:00:00,2024-07-25T14:00,2024,7,29.0,0.0,Cloudy
09/08/2024,20:00,40.815754,-73.89529,BRONX,1.0,0.0,0,0,0,0,0,0,4757160,2024-09-08 20:00:00,2024-09-08T20:00,2024,9,16.2,0.0,Clear
04/07/2024,19:00,40.82923,-73.87551,BRONX,1.0,0.0,0,0,1,0,0,0,4715669,2024-04-07 19:00:00,2024-04-07T19:00,2024,4,8.9,0.0,Clear
04/09/2024,4:00,40.830135,-73.891884,BRONX,1.0,0.0,1,0,0,0,0,0,4716392,2024-04-09 04:00:00,2024-04-09T04:00,2024,4,7.9,0.0,Cloudy
05/22/2024,14:00,40.82389,-73.89585,BRONX,2.0,0.0,2,0,0,0,0,0,4726692,2024-05-22 14:00:00,2024-05-22T14:00,2024,5,24.8,0.0,Clear
03/11/2024,22:00,40.81637,-73.9188,BRONX,1.0,0.0,0,0,1,0,0,0,4710432,2024-03-11 22:00:00,2024-03-11T22:00,2024,3,5.5,0.0,Clear
07/12/2024,9:00,40.827656,-73.8861,BRONX,3.0,0.0,0,0,0,0,3,0,4742184,2024-07-12 09:00:00,2024-07-12T09:00,2024,7,26.6,0.0,Cloudy
08/02/2024,0:00,40.881264,-73.83875,BRONX,0.0,0.0,0,0,0,0,0,0,4746089,2024-08-02 00:00:00,2024-08-02T00:00,2024,8,24.3,0.0,Cloudy
04/20/2024,11:00,40.876873,-73.84135,BRONX,1.0,0.0,0,0,0,0,1,0,4720651,2024-04-20 11:00:00,2024-04-20T11:00,2024,4,15.9,0.0,Cloudy
07/21/2024,18:00,40.82751,-73.92495,BRONX,1.0,0.0,0,0,1,0,0,0,4744882,2024-07-21 18:00:00,2024-07-21T18:00,2024,7,28.3,0.0,Clear
11/21/2024,22:00,40.85147,-73.88241,BRONX,1.0,0.0,0,0,0,0,0,0,4773224,2024-11-21 22:00:00,2024-11-21T22:00,2024,11,5.4,4.3,Heavy Rain
12/05/2024,11:00,0.0,0.0,BRONX,1.0,0.0,0,0,0,0,1,0,4778233,2024-12-05 11:00:00,2024-12-05T11:00,2024,12,27.5,0.0,Cloudy
10/24/2024,11:00,40.881607,-73.83783,BRONX,1.0,0.0,0,0,0,0,1,0,4773012,2024-10-24 11:00:00,2024-10-24T11:00,2024,10,18.5,0.0,Clear
10/22/2024,9:00,40.84893,-73.88815,BRONX,1.0,0.0,0,0,1,0,0,0,4771978,2024-10-22 09:00:00,2024-10-22T09:00,2024,10,20.0,0.0,Clear
01/06/2024,13:00,40.815964,-73.88688,BRONX,1.0,0.0,0,0,0,0,1,0,4693479,2024-01-06 13:00:00,2024-01-06T13:00,2024,1,2.4,0.0,Cloudy
10/04/2024,20:00,40.890648,-73.84875,BRONX,1.0,0.0,1,0,0,0,0,0,4763444,2024-10-04 20:00:00,2024-10-04T20:00,2024,10,17.8,0.0,Cloudy
11/21/2024,17:00,40.83142,-73.92642,BRONX,1.0,0.0,1,0,0,0,0,0,4776178,2024-11-21 17:00:00,2024-11-21T17:00,2024,11,8.5,0.4,Drizzle
10/01/2024,19:00,40.8355,-73.90123,BRONX,1.0,0.0,0,0,0,0,1,0,4760879,2024-10-01 19:00:00,2024-10-01T19:00,2024,10,16.1,0.0,Clear
10/16/2024,14:00,40.8687,-73.85843,BRONX,1.0,0.0,0,0,0,0,1,0,4765946,2024-10-16 14:00:00,2024-10-16T14:00,2024,10,14.7,0.0,Cloudy
02/10/2024,18:00,40.86607,-73.89439,BRONX,1.0,0.0,0,0,0,0,0,0,4701943,2024-02-10 18:00:00,2024-02-10T18:00,2024,2,11.8,0.0,Cloudy
01/25/2024,21:00,40.8352,-73.86599,BRONX,1.0,0.0,1,0,0,0,0,0,4701164,2024-01-25 21:00:00,2024-01-25T21:00,2024,1,8.5,0.0,Cloudy
04/28/2024,19:00,40.825577,-73.918465,BRONX,1.0,0.0,0,0,0,0,1,0,4721909,2024-04-28 19:00:00,2024-04-28T19:00,2024,4,17.0,0.3,Drizzle
12/01/2024,18:00,40.860897,-73.89193,BRONX,1.0,0.0,1,0,0,0,0,0,4776428,2024-12-01 18:00:00,2024-12-01T18:00,2024,12,0.0,0.0,Clear
03/19/2024,16:00,40.844177,-73.89744,BRONX,0.0,0.0,0,0,0,0,0,0,4711224,2024-03-19 16:00:00,2024-03-19T16:00,2024,3,6.1,0.0,Cloudy
03/12/2024,0:00,40.863884,-73.88975,BRONX,0.0,0.0,0,0,0,0,0,0,4709239,2024-03-12 00:00:00,2024-03-12T00:00,2024,3,4.8,0.0,Clear
08/09/2024,23:00,40.844177,-73.89744,BRONX,1.0,0.0,0,0,0,0,1,0,4748508,2024-08-09 23:00:00,2024-08-09T23:00,2024,8,23.5,0.4,Drizzle
04/01/2024,19:00,40.82689,-73.858894,BRONX,0.0,0.0,0,0,0,0,0,0,4715204,2024-04-01 19:00:00,2024-04-01T19:00,2024,4,8.1,0.0,Clear
03/26/2024,19:00,40.85419,-73.90699,BRONX,1.0,0.0,1,0,0,0,0,0,4712858,2024-03-26 19:00:00,2024-03-26T19:00,2024,3,7.3,0.0,Cloudy
07/19/2024,21:00,40.832233,-73.85427,BRONX,1.0,0.0,0,0,1,0,0,0,4743185,2024-07-19 21:00:00,2024-07-19T21:00,2024,7,22.9,0.0,Clear
12/13/2024,6:00,40.808437,-73.90472,BRONX,0.0,0.0,0,0,0,0,0,0,4786365,2024-12-13 06:00:00,2024-12-13T06:00,2024,12,-3.4,0.0,Clear
04/10/2024,0:00,40.88698,-73.84745,BRONX,1.0,0.0,0,0,0,0,1,0,4717451,2024-04-10 00:00:00,2024-04-10T00:00,2024,4,10.7,0.0,Cloudy
11/12/2024,16:00,40.816067,-73.91764,BRONX,0.0,0.0,0,0,0,0,0,0,4771146,2024-11-12 16:00:00,2024-11-12T16:00,2024,11,9.8,0.0,Clear
09/06/2024,20:00,40.856045,-73.84395,BRONX,1.0,0.0,1,0,0,0,0,0,4753558,2024-09-06 20:00:00,2024-09-06T20:00,2024,9,20.5,0.1,Drizzle
05/19/2024,13:00,40.831642,-73.899536,BRONX,0.0,0.0,0,0,0,0,0,0,4726042,2024-05-19 13:00:00,2024-05-19T13:00,2024,5,22.6,0.0,Cloudy
02/08/2024,9:00,40.856327,-73.84392,BRONX,1.0,0.0,1,0,0,0,0,0,4701061,2024-02-08 09:00:00,2024-02-08T09:00,2024,2,2.5,0.0,Clear
08/13/2024,11:00,40.849106,-73.89495,BRONX,1.0,0.0,0,0,1,0,0,0,4748334,2024-08-13 11:00:00,2024-08-13T11:00,2024,8,24.9,0.0,Clear
03/01/2024,14:00,40.813095,-73.89827,BRONX,0.0,0.0,0,0,0,0,0,0,4707624,2024-03-01 14:00:00,2024-03-01T14:00,2024,3,5.5,0.0,Clear
02/19/2024,11:00,40.814545,-73.90764,BRONX,0.0,0.0,0,0,0,0,0,0,4703820,2024-02-19 11:00:00,2024-02-19T11:00,2024,2,3.6,0.0,Clear
04/28/2024,16:00,40.826874,-73.90539,BRONX,1.0,0.0,0,0,0,0,0,0,4723043,2024-04-28 16:00:00,2024-04-28T16:00,2024,4,20.1,0.0,Cloudy
11/15/2024,6:00,40.841026,-73.853294,BRONX,0.0,0.0,0,0,0,0,0,0,4774264,2024-11-15 06:00:00,2024-11-15T06:00,2024,11,3.7,0.0,Cloudy
08/04/2024,0:00,40.852768,-73.89217,BRONX,1.0,0.0,1,0,0,0,0,0,4745607,2024-08-04 00:00:00,2024-08-04T00:00,2024,8,23.1,0.0,Cloudy
01/26/2024,19:00,40.848755,-73.898705,BRONX,1.0,0.0,0,0,0,0,1,0,4698030,2024-01-26 19:00:00,2024-01-26T19:00,2024,1,4.3,0.0,Cloudy
05/15/2024,23:00,40.817116,-73.88307,BRONX,1.0,0.0,0,0,0,0,1,0,4726886,2024-05-15 23:00:00,2024-05-15T23:00,2024,5,15.3,0.1,Drizzle
06/05/2024,0:00,40.88377,-73.8294,BRONX,0.0,0.0,0,0,0,0,0,0,4735277,2024-06-05 00:00:00,2024-06-05T00:00,2024,6,15.8,0.0,Cloudy
07/10/2024,0:00,40.824207,-73.87529,BRONX,1.0,0.0,0,0,0,0,1,0,4739567,2024-07-10 00:00:00,2024-07-10T00:00,2024,7,26.6,0.0,Cloudy
05/13/2024,22:00,40.83394,-73.9087,BRONX,1.0,0.0,1,0,0,0,0,0,4724727,2024-05-13 22:00:00,2024-05-13T22:00,2024,5,12.8,0.0,Clear
12/02/2024,0:00,40.841724,-73.90175,BRONX,0.0,0.0,0,0,0,0,0,0,4775675,2024-12-02 00:00:00,2024-12-02T00:00,2024,12,-1.4,0.0,Clear
08/07/2024,7:00,40.842075,-73.834724,BRONX,2.0,0.0,0,0,0,0,2,0,4746943,2024-08-07 07:00:00,2024-08-07T07:00,2024,8,19.9,0.1,Drizzle
12/10/2024,10:00,40.852135,-73.83719,BRONX,1.0,0.0,1,0,0,0,0,0,4778548,2024-12-10 10:00:00,2024-12-10T10:00,2024,12,7.0,0.0,Cloudy
09/04/2024,0:00,40.857483,-73.909676,BRONX,1.0,0.0,0,0,1,0,0,0,4754638,2024-09-04 00:00:00,2024-09-04T00:00,2024,9,14.2,0.0,Clear
10/31/2024,18:00,40.833607,-73.858635,BRONX,1.0,0.0,0,0,1,0,0,0,4768128,2024-10-31 18:00:00,2024-10-31T18:00,2024,10,21.7,0.0,Cloudy
04/19/2024,17:00,40.82406,-73.92815,BRONX,1.0,0.0,0,0,0,0,1,0,4720324,2024-04-19 17:00:00,2024-04-19T17:00,2024,4,10.2,0.0,Cloudy
07/30/2024,0:00,40.834057,-73.88973,BRONX,1.0,0.0,0,0,0,0,1,0,4744295,2024-07-30 00:00:00,2024-07-30T00:00,2024,7,22.7,0.0,Cloudy
12/31/2024,20:00,40.88846,-73.841965,BRONX,1.0,0.0,1,0,0,0,0,0,4783860,2024-12-31 20:00:00,2024-12-31T20:00,2024,12,7.1,0.0,Cloudy
03/12/2024,18:00,40.817387,-73.92277,BRONX,1.0,0.0,0,0,1,0,0,0,4709289,2024-03-12 18:00:00,2024-03-12T18:00,2024,3,12.3,0.0,Cloudy
03/08/2024,0:00,40.887333,-73.86072,BRONX,1.0,0.0,0,0,0,0,1,0,4709352,2024-03-08 00:00:00,2024-03-08T00:00,2024,3,4.1,0.0,Clear
05/17/2024,1:00,40.80801,-73.88961,BRONX,3.0,0.0,0,0,0,0,3,0,4725738,2024-05-17 01:00:00,2024-05-17T01:00,2024,5,13.5,0.0,Clear
01/31/2024,16:00,40.865353,-73.89494,BRONX,1.0,0.0,1,0,0,0,0,0,4699334,2024-01-31 16:00:00,2024-01-31T16:00,2024,1,3.5,0.0,Cloudy
12/19/2024,13:00,40.835857,-73.87212,BRONX,1.0,0.0,0,0,0,0,1,0,4784052,2024-12-19 13:00:00,2024-12-19T13:00,2024,12,6.6,0.0,Cloudy
02/15/2024,8:00,40.837784,-73.852486,BRONX,1.0,0.0,0,0,0,0,0,0,4704426,2024-02-15 08:00:00,2024-02-15T08:00,2024,2,-5.7,0.0,Clear
12/30/2024,0:00,40.879948,-73.82338,BRONX,1.0,0.0,1,0,0,0,0,0,4785485,2024-12-30 00:00:00,2024-12-30T00:00,2024,12,13.2,0.3,Drizzle
11/08/2024,14:00,40.83602,-73.9243,BRONX,0.0,0.0,0,0,0,0,0,0,4770113,2024-11-08 14:00:00,2024-11-08T14:00,2024,11,20.5,0.0,Clear
10/12/2024,12:00,40.85038,-73.90699,BRONX,5.0,0.0,0,0,0,0,5,0,4763424,2024-10-12 12:00:00,2024-10-12T12:00,2024,10,21.9,0.0,Clear
04/22/2024,9:00,40.89848,-73.89844,BRONX,1.0,0.0,0,0,0,0,1,0,4722915,2024-04-22 09:00:00,2024-04-22T09:00,2024,4,10.1,0.0,Clear
08/13/2024,2:00,40.83174,-73.886925,BRONX,0.0,0.0,0,0,0,0,0,0,4748290,2024-08-13 02:00:00,2024-08-13T02:00,2024,8,16.8,0.0,Clear
06/12/2024,0:00,40.863605,-73.88888,BRONX,1.0,0.0,0,0,0,0,1,0,4733109,2024-06-12 00:00:00,2024-06-12T00:00,2024,6,15.7,0.0,Cloudy
03/31/2024,15:00,40.84271,-73.885666,BRONX,1.0,0.0,1,0,0,0,0,0,4714828,2024-03-31 15:00:00,2024-03-31T15:00,2024,3,15.6,0.0,Cloudy
07/26/2024,10:00,40.833664,-73.8981,BRONX,1.0,0.0,0,0,0,0,0,0,4744141,2024-07-26 10:00:00,2024-07-26T10:00,2024,7,24.9,0.0,Clear
03/04/2024,0:00,40.84987,-73.88991,BRONX,1.0,0.0,0,0,1,0,0,0,4707130,2024-03-04 00:00:00,2024-03-04T00:00,2024,3,6.6,0.0,Clear
05/12/2024,5:00,40.844234,-73.92363,BRONX,0.0,0.0,0,0,0,0,0,0,4725206,2024-05-12 05:00:00,2024-05-12T05:00,2024,5,9.1,0.2,Drizzle
