CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
09/11/2019,0:00,40.88163,-73.86188,BRONX,1.0,0.0,0,0,0,0,1,0,4204296,2019-09-11 00:00:00,2019-09-11T00:00,2019,9,19.9,0.0,Clear
02/28/2019,5:00,40.867912,-73.8344,BRONX,1.0,0.0,0,0,0,0,1,0,4088460,2019-02-28 05:00:00,2019-02-28T05:00,2019,2,-1.6,0.0,Cloudy
03/11/2019,12:00,40.846657,-73.89619,BRONX,1.0,0.0,0,0,0,0,1,0,4095395,2019-03-11 12:00:00,2019-03-11T12:00,2019,3,10.1,0.0,Cloudy
08/24/2019,12:00,40.804344,-73.92158,BRONX,0.0,0.0,0,0,0,0,0,0,4194943,2019-08-24 12:00:00,2019-08-24T12:00,2019,8,23.2,0.0,Clear
04/12/2019,21:00,40.877457,-73.9072,BRONX,1.0,0.0,1,0,0,0,0,0,4113800,2019-04-12 21:00:00,2019-04-12T21:00,2019,4,13.9,4.2,Heavy Rain
06/07/2019,14:00,40.895195,-73.88012,BRONX,0.0,0.0,0,0,0,0,0,0,4151029,2019-06-07 14:00:00,2019-06-07T14:00,2019,6,23.5,0.0,Cloudy
10/15/2019,9:00,40.816532,-73.92822,BRONX,1.0,0.0,1,0,0,0,0,0,4223471,2019-10-15 09:00:00,2019-10-15T09:00,2019,10,13.3,0.0,Clear
02/11/2019,11:00,40.808918,-73.92825,BRONX,0.0,0.0,0,0,0,0,0,0,4079144,2019-02-11 11:00:00,2019-02-11T11:00,2019,2,1.2,0.0,Cloudy
06/07/2019,18:00,40.848255,-73.90976,BRONX,1.0,0.0,0,0,0,0,1,0,4147300,2019-06-07 18:00:00,2019-06-07T18:00,2019,6,21.1,0.0,Cloudy
06/16/2019,11:00,40.878742,-73.87255,BRONX,1.0,0.0,1,0,0,0,0,0,4153025,2019-06-16 11:00:00,2019-06-16T11:00,2019,6,24.5,0.0,Cloudy
