CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
03/03/2022,8:00,40.875042,-73.91228,BRONX,1.0,0.0,1,0,0,0,0,0,4507110,2022-03-03 08:00:00,2022-03-03T08:00,2022,3,3.4,0.0,Clear
05/16/2022,22:00,40.88437,-73.86914,BRONX,1.0,0.0,0,0,0,0,1,0,4528676,2022-05-16 22:00:00,2022-05-16T22:00,2022,5,16.4,0.0,Clear
09/21/2022,12:00,40.88129,-73.90943,BRONX,1.0,0.0,1,0,0,0,0,0,4566121,2022-09-21 12:00:00,2022-09-21T12:00,2022,9,24.5,0.0,Clear
07/15/2022,19:00,40.88569,-73.831245,BRONX,0.0,0.0,0,0,0,0,0,0,4548864,2022-07-15 19:00:00,2022-07-15T19:00,2022,7,25.6,0.0,Clear
08/12/2022,7:00,40.83664,-73.83382,BRONX,2.0,0.0,0,0,0,0,2,0,4555121,2022-08-12 07:00:00,2022-08-12T07:00,2022,8,22.2,0.0,Clear
10/12/2022,10:00,40.897564,-73.84109,BRONX,1.0,0.0,1,0,0,0,0,0,4573316,2022-10-12 10:00:00,2022-10-12T10:00,2022,10,17.2,0.0,Cloudy
01/17/2022,2:00,40.854218,-73.89004,BRONX,1.0,0.0,0,0,0,0,0,0,4500715,2022-01-17 02:00:00,2022-01-17T02:00,2022,1,4.9,4.1,Heavy Rain
10/15/2022,11:00,40.84664,-73.90469,BRONX,2.0,0.0,1,0,0,0,1,0,4573562,2022-10-15 11:00:00,2022-10-15T11:00,2022,10,18.6,0.0,Clear
05/03/2022,18:00,40.84441,-73.8689,BRONX,1.0,0.0,0,0,0,0,1,0,4524577,2022-05-03 18:00:00,2022-05-03T18:00,2022,5,13.4,0.0,Cloudy
06/06/2022,15:00,40.87892,-73.90479,BRONX,0.0,0.0,0,0,0,0,0,0,4535646,2022-06-06 15:00:00,2022-06-06T15:00,2022,6,26.0,0.0,Cloudy
05/17/2022,17:00,40.887043,-73.84029,BRONX,1.0,0.0,1,0,0,0,0,0,4529227,2022-05-17 17:00:00,2022-05-17T17:00,2022,5,21.6,0.0,Clear
01/26/2022,16:00,40.87645,-73.848175,BRONX,3.0,0.0,0,0,0,0,3,0,4497893,2022-01-26 16:00:00,2022-01-26T16:00,2022,1,-3.9,0.0,Clear
06/03/2022,8:00,40.89016,-73.84261,BRONX,1.0,0.0,0,0,0,0,1,0,4534255,2022-06-03 08:00:00,2022-06-03T08:00,2022,6,18.2,0.0,Cloudy
07/28/2022,22:00,40.875328,-73.869225,BRONX,3.0,0.0,0,0,0,0,3,0,4552039,2022-07-28 22:00:00,2022-07-28T22:00,2022,7,26.2,0.0,Clear
01/22/2022,12:00,40.884235,-73.901146,BRONX,1.0,0.0,1,0,0,0,0,0,4499146,2022-01-22 12:00:00,2022-01-22T12:00,2022,1,-2.6,0.0,Clear
12/17/2022,13:00,40.81702,-73.90507,BRONX,1.0,0.0,1,0,0,0,0,0,4599787,2022-12-17 13:00:00,2022-12-17T13:00,2022,12,6.9,0.0,Clear
08/30/2022,15:00,40.854588,-73.90187,BRONX,1.0,0.0,0,0,0,0,1,0,4559769,2022-08-30 15:00:00,2022-08-30T15:00,2022,8,28.9,0.0,Cloudy
09/25/2022,12:00,40.832737,-73.90504,BRONX,3.0,0.0,0,0,0,0,3,0,4567855,2022-09-25 12:00:00,2022-09-25T12:00,2022,9,20.4,0.0,Cloudy
07/16/2022,17:00,40.86231,-73.909874,BRONX,0.0,0.0,0,0,0,0,0,0,4546769,2022-07-16 17:00:00,2022-07-16T17:00,2022,7,25.9,0.1,Drizzle
08/16/2022,0:00,40.820187,-73.890686,BRONX,1.0,0.0,0,0,0,0,0,0,4555853,2022-08-16 00:00:00,2022-08-16T00:00,2022,8,19.4,0.0,Clear
03/24/2022,23:00,40.829777,-73.85055,BRONX,1.0,0.0,1,0,0,0,0,0,4514182,2022-03-24 23:00:00,2022-03-24T23:00,2022,3,6.5,2.6,Heavy Rain
01/22/2022,0:00,40.828587,-73.85026,BRONX,1.0,0.0,0,0,0,0,1,0,4496960,2022-01-22 00:00:00,2022-01-22T00:00,2022,1,-8.7,0.0,Cloudy
03/30/2022,15:00,40.801,-73.91371,BRONX,0.0,0.0,0,0,0,0,0,0,4514913,2022-03-30 15:00:00,2022-03-30T15:00,2022,3,5.6,0.0,Cloudy
04/02/2022,13:00,40.825848,-73.90993,BRONX,1.0,0.0,0,0,0,0,1,0,4515661,2022-04-02 13:00:00,2022-04-02T13:00,2022,4,9.8,0.0,Clear
09/02/2022,17:00,40.843464,-73.83683,BRONX,1.0,0.0,0,0,0,0,1,0,4560452,2022-09-02 17:00:00,2022-09-02T17:00,2022,9,24.5,0.0,Cloudy
02/27/2022,21:00,40.825577,-73.918465,BRONX,0.0,0.0,0,0,0,0,0,0,4506981,2022-02-27 21:00:00,2022-02-27T21:00,2022,2,3.9,0.0,Clear
03/27/2022,14:00,40.837673,-73.91922,BRONX,1.0,0.0,0,0,0,0,1,0,4516702,2022-03-27 14:00:00,2022-03-27T14:00,2022,3,6.3,0.0,Cloudy
03/10/2022,13:00,40.899185,-73.8562,BRONX,0.0,0.0,0,0,0,0,0,0,4510043,2022-03-10 13:00:00,2022-03-10T13:00,2022,3,8.6,0.0,Cloudy
08/16/2022,22:00,40.823658,-73.836426,BRONX,2.0,0.0,0,0,0,0,2,0,4556513,2022-08-16 22:00:00,2022-08-16T22:00,2022,8,21.4,0.0,Cloudy
12/31/2022,16:00,40.87892,-73.90479,BRONX,1.0,0.0,1,0,0,0,0,0,4595064,2022-12-31 16:00:00,2022-12-31T16:00,2022,12,10.5,0.3,Drizzle
12/24/2022,17:00,40.868458,-73.82051,BRONX,2.0,0.0,0,0,0,0,2,0,4592939,2022-12-24 17:00:00,2022-12-24T17:00,2022,12,-7.7,0.0,Clear
04/18/2022,13:00,40.820744,-73.82374,BRONX,0.0,0.0,0,0,0,0,0,0,4520074,2022-04-18 13:00:00,2022-04-18T13:00,2022,4,9.6,0.0,Cloudy
03/09/2022,10:00,40.839615,-73.8619,BRONX,1.0,0.0,1,0,0,0,0,0,4509950,2022-03-09 10:00:00,2022-03-09T10:00,2022,3,2.2,1.1,Light Snow
08/09/2022,13:00,40.869194,-73.88039,BRONX,1.0,0.0,0,0,0,0,0,0,4553970,2022-08-09 13:00:00,2022-08-09T13:00,2022,8,35.7,0.0,Cloudy
