CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
12/25/2021,22:00,40.823284,-73.88762,BRONX,0.0,0.0,0,0,0,0,0,0,4489845,2021-12-25 22:00:00,2021-12-25T22:00,2021,12,8.0,0.0,Cloudy
07/06/2021,17:00,40.82444,-73.8979,BRONX,1.0,0.0,0,0,0,0,0,0,4434698,2021-07-06 17:00:00,2021-07-06T17:00,2021,7,28.4,0.2,Drizzle
01/21/2021,18:00,40.87462,-73.8804,BRONX,0.0,0.0,0,0,0,0,0,0,4385746,2021-01-21 18:00:00,2021-01-21T18:00,2021,1,0.5,0.0,Clear
05/13/2021,5:00,40.81006,-73.90313,BRONX,2.0,0.0,0,0,0,0,2,0,4416118,2021-05-13 05:00:00,2021-05-13T05:00,2021,5,6.9,0.0,Clear
08/08/2021,0:00,40.870823,-73.86708,BRONX,1.0,0.0,0,0,0,0,1,0,4444786,2021-08-08 00:00:00,2021-08-08T00:00,2021,8,22.0,0.0,Cloudy
02/15/2021,23:00,40.872395,-73.8508,BRONX,1.0,0.0,1,0,0,0,0,0,4393121,2021-02-15 23:00:00,2021-02-15T23:00,2021,2,0.4,0.4,Drizzle
05/25/2021,9:00,40.815166,-73.90641,BRONX,1.0,0.0,0,0,0,0,1,0,4420415,2021-05-25 09:00:00,2021-05-25T09:00,2021,5,17.5,0.0,Cloudy
08/30/2021,14:00,40.82929,-73.91642,BRONX,1.0,0.0,0,0,0,0,1,0,4452409,2021-08-30 14:00:00,2021-08-30T14:00,2021,8,28.3,0.1,Drizzle
01/12/2021,13:00,40.850132,-73.91162,BRONX,0.0,0.0,0,0,0,0,0,0,4383543,2021-01-12 13:00:00,2021-01-12T13:00,2021,1,5.8,0.0,Clear
06/13/2021,10:00,40.86158,-73.85491,BRONX,0.0,0.0,0,0,0,0,0,0,4426598,2021-06-13 10:00:00,2021-06-13T10:00,2021,6,22.9,0.0,Cloudy
04/19/2021,0:00,40.823112,-73.8679,BRONX,1.0,0.0,1,0,0,0,0,0,4408846,2021-04-19 00:00:00,2021-04-19T00:00,2021,4,6.4,0.0,Clear
12/10/2021,0:00,40.879894,-73.82377,BRONX,1.0,0.0,1,0,0,0,0,0,4485181,2021-12-10 00:00:00,2021-12-10T00:00,2021,12,1.7,0.0,Cloudy
11/15/2021,18:00,40.871117,-73.87683,BRONX,1.0,0.0,0,0,0,0,1,0,4477898,2021-11-15 18:00:00,2021-11-15T18:00,2021,11,6.2,0.0,Clear
09/19/2021,0:00,40.816067,-73.91765,BRONX,1.0,0.0,0,0,1,0,0,0,4460376,2021-09-19 00:00:00,2021-09-19T00:00,2021,9,21.3,0.0,Clear
09/12/2021,4:00,40.855553,-73.88757,BRONX,0.0,0.0,0,0,0,0,0,0,4456405,2021-09-12 04:00:00,2021-09-12T04:00,2021,9,18.4,0.0,Clear
08/04/2021,9:00,40.885303,-73.89826,BRONX,0.0,0.0,0,0,0,0,0,0,4448159,2021-08-04 09:00:00,2021-08-04T09:00,2021,8,22.8,0.0,Cloudy
03/18/2021,15:00,40.87016,-73.89098,BRONX,1.0,0.0,0,0,0,0,1,0,4400884,2021-03-18 15:00:00,2021-03-18T15:00,2021,3,5.5,1.6,Light Rain
04/06/2021,19:00,40.820545,-73.917755,BRONX,0.0,0.0,0,0,0,0,0,0,4405667,2021-04-06 19:00:00,2021-04-06T19:00,2021,4,11.0,0.0,Clear
