CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
04/14/2016,11:00,40.816803,-73.92306,BRONX,1.0,0.0,0,0,0,0,1,0,3411156,2016-04-14 11:00:00,2016-04-14T11:00,2016,4,11.2,0.0,Clear
11/14/2016,20:00,40.860893,-73.84321,BRONX,1.0,0.0,0,0,0,0,1,0,3560662,2016-11-14 20:00:00,2016-11-14T20:00,2016,11,10.6,0.0,Cloudy
08/22/2016,18:00,40.875202,-73.8767,BRONX,3.0,0.0,2,0,0,0,1,0,3505284,2016-08-22 18:00:00,2016-08-22T18:00,2016,8,22.3,0.0,Clear
08/18/2016,1:00,40.861107,-73.89028,BRONX,0.0,0.0,0,0,0,0,0,0,3503916,2016-08-18 01:00:00,2016-08-18T01:00,2016,8,23.8,0.5,Drizzle
08/21/2016,4:00,40.833595,-73.90253,BRONX,0.0,0.0,0,0,0,0,0,0,3503884,2016-08-21 04:00:00,2016-08-21T04:00,2016,8,21.9,0.0,Clear
02/03/2016,14:00,40.8071531,-73.9082053,BRONX,3.0,0.0,0,0,0,0,3,0,3382748,2016-02-03 14:00:00,2016-02-03T14:00,2016,2,11.2,2.1,Light Rain
09/12/2016,17:00,40.82463,-73.91059,BRONX,1.0,0.0,1,0,0,0,0,0,3519978,2016-09-12 17:00:00,2016-09-12T17:00,2016,9,22.8,0.0,Clear
07/18/2016,12:00,40.82858,-73.87918,BRONX,1.0,0.0,1,0,0,0,0,0,3484385,2016-07-18 12:00:00,2016-07-18T12:00,2016,7,33.3,0.0,Cloudy
09/17/2016,0:00,40.835716,-73.8775,BRONX,1.0,0.0,0,0,0,0,1,0,3522371,2016-09-17 00:00:00,2016-09-17T00:00,2016,9,15.7,0.0,Cloudy
01/21/2016,19:00,40.8441075,-73.8861506,BRONX,1.0,0.0,0,0,0,0,1,0,3375278,2016-01-21 19:00:00,2016-01-21T19:00,2016,1,-2.3,0.0,Clear
